TEMP	RATE	WORKER	TIME
70	0.5	1	1.7
70	0.5	2	1.3
70	0.5	3	1.7
70	0.5	4	2.0
70	0.5	5	2.0
70	0.5	6	2.3
70	0.5	7	2.0
70	0.5	8	2.8
70	0.5	9	1.5
70	0.5	10	1.6
70	1.0	1	0.8
70	1.0	2	0.8
70	1.0	3	1.5
70	1.0	4	1.2
70	1.0	5	1.2
70	1.0	6	1.7
70	1.0	7	1.1
70	1.0	8	1.5
70	1.0	9	0.5
70	1.0	10	1.0
80	0.5	1	1.3
80	0.5	2	1.5
80	0.5	3	2.3
80	0.5	4	1.6
80	0.5	5	2.2
80	0.5	6	2.1
80	0.5	7	1.8
80	0.5	8	2.4
80	0.5	9	1.3
80	0.5	10	1.8
80	1.0	1	1.8
80	1.0	2	1.5
80	1.0	3	2.3
80	1.0	4	2.0
80	1.0	5	2.7
80	1.0	6	2.2
80	1.0	7	2.3
80	1.0	8	2.6
80	1.0	9	1.3
80	1.0	10	1.8
