Discharge	BedLoad
1.03635	0.00373
1.31878	0.01180
1.12000	0.01507
1.28595	0.01490
1.57864	0.02055
1.43772	0.02041
1.29477	0.00777
1.16407	0.00386
1.19062	0.00583
1.33357	0.01009
1.35399	0.01663
1.28252	0.01596
1.56842	0.03267
1.38463	0.01492
1.32336	0.01984
1.60927	0.02881
1.32336	0.01046
1.69096	0.02216
1.39484	0.02087
1.69096	0.03808
1.28252	0.00774
1.20083	0.01146
0.95576	0.00558
0.95576	0.00483
0.79239	0.00550
0.75154	0.00360
0.75154	0.00181
0.79239	0.00471
0.71070	0.00317
0.81281	0.00499
0.71070	0.00530
0.87408	0.00308
0.69028	0.00556
0.76176	0.00165
0.66986	0.00189
0.69028	0.00120
0.64943	0.00284
0.64943	0.00149
0.58817	0.00209
0.64943	0.00112
0.66986	0.00268
0.85365	0.00426
0.71070	0.00564
0.56775	0.00080
0.60859	0.00094
0.69390	0.00092
0.56120	0.00074
0.64780	0.00185
0.91584	0.00575
0.99158	0.00882
1.73144	0.02993
1.75855	0.02547
1.62547	0.01937
1.81354	0.01768
1.98456	0.05355
2.10370	0.06734
1.62547	0.02297
1.52345	0.00740
1.47390	0.00539
1.24061	0.00634
1.33107	0.00919
1.21859	0.01631
1.21859	0.01356
1.33107	0.01554
1.44950	0.01138
1.62547	0.01332
1.52345	0.00397
1.73144	0.00595
1.17524	0.00636
1.15391	0.00982
1.54858	0.01107
0.39824	0.00231
0.38707	0.00120
0.38707	0.00111
0.38707	0.00007
1.01107	0.01085
