BURNIN	INSLEVEL	FAILURES
1	A	7.60
1	A	7.50
1	A	7.67
1	B	7.70
1	B	7.10
1	B	7.20
1	C	6.16
1	C	6.13
1	C	6.21
2	A	6.54
2	A	7.46
2	A	6.84
2	B	5.85
2	B	6.15
2	B	6.15
2	C	6.21
2	C	5.50
2	C	5.64
3	A	6.53
3	A	5.85
3	A	6.38
3	B	5.30
3	B	5.60
3	B	5.80
3	C	5.41
3	C	5.45
3	C	5.35
4	A	5.66
4	A	5.98
4	A	5.37
4	B	5.38
4	B	5.27
4	B	5.29
4	C	5.68
4	C	5.47
4	C	5.84
5	A	5.00
5	A	5.27
5	A	5.39
5	B	4.85
5	B	4.99
5	B	4.98
5	C	5.65
5	C	6.00
5	C	6.15
6	A	4.20
6	A	3.60
6	A	4.20
6	B	4.50
6	B	4.56
6	B	4.50
6	C	6.70
6	C	6.72
6	C	6.54
7	A	3.66
7	A	3.92
7	A	4.22
7	B	3.97
7	B	3.90
7	B	3.84
7	C	7.90
7	C	7.47
7	C	7.70
8	A	3.76
8	A	3.68
8	A	3.80
8	B	4.37
8	B	3.86
8	B	4.46
8	C	8.40
8	C	8.60
8	C	7.90
9	A	3.46
9	A	3.55
9	A	3.45
9	B	5.25
9	B	5.63
9	B	5.25
9	C	8.82
9	C	9.76
9	C	9.52
