Location	Insecticide	Ratio
Anguilla	Temephos	4.6
Antigua	Temephos	9.2
Dominica	Temephos	7.8
Guyana	Temephos	1.7
Jamaica	Temephos	3.4
StLucia	Temephos	6.7
Suriname	Temephos	1.4
Anguilla	Malathion	1.2
Antigua	Malathion	2.9
Dominica	Malathion	1.4
Guyana	Malathion	1.9
Jamaica	Malathion	3.7
StLucia	Malathion	2.7
Suriname	Malathion	1.9
Anguilla	Fenitrothion	1.5
Antigua	Fenitrothion	2.0
Dominica	Fenitrothion	2.4
Guyana	Fenitrothion	2.2
Jamaica	Fenitrothion	2.0
StLucia	Fenitrothion	2.7
Suriname	Fenitrothion	2.0
Anguilla	Fenthion	1.8
Antigua	Fenthion	7.0
Dominica	Fenthion	4.2
Guyana	Fenthion	1.5
Jamaica	Fenthion	1.5
StLucia	Fenthion	4.8
Suriname	Fenthion	2.1
Anguilla	Chlorpyrifos	1.5
Antigua	Chlorpyrifos	2.0
Dominica	Chlorpyrifos	4.1
Guyana	Chlorpyrifos	1.8
Jamaica	Chlorpyrifos	7.1
StLucia	Chlorpyrifos	8.7
Suriname	Chlorpyrifos	1.7
