Transect	Seabirds	Length	Oil	Density
1	0	4.06	no	0.0000
2	0	6.51	no	0.0000
3	54	6.76	no	7.9882
4	0	4.26	no	0.0000
5	14	3.59	no	3.8997
6	9	9.89	no	0.9100
7	44	5.66	no	7.7739
8	263	7.26	no	36.2259
9	0	1.41	no	0.0000
10	97	6.00	no	16.1667
11	0	3.13	no	0.0000
12	36	6.08	no	5.9211
13	8	8.42	no	0.9501
14	21	5.53	no	3.7975
15	0	8.11	no	0.0000
16	0	2.88	no	0.0000
17	0	5.39	no	0.0000
18	13	2.54	no	5.1181
19	7	2.20	no	3.1818
20	7	6.14	no	1.1401
21	0	6.08	no	0.0000
22	24	2.40	no	10.0000
23	0	7.22	no	0.0000
24	0	3.70	no	0.0000
25	9	5.88	no	1.5306
26	26	4.44	no	5.8559
27	0	5.70	no	0.0000
28	0	3.84	no	0.0000
29	5	5.75	no	0.8696
30	16	7.58	no	2.1108
31	10	7.09	no	1.4104
32	12	3.97	no	3.0227
33	0	5.73	no	0.0000
34	0	1.99	no	0.0000
35	0	5.76	no	0.0000
36	0	4.91	no	0.0000
37	0	1.17	yes	0.0000
38	5	7.25	yes	0.6897
39	18	5.96	yes	3.0201
40	0	7.27	yes	0.0000
41	0	5.18	yes	0.0000
42	0	5.81	yes	0.0000
43	13	4.83	yes	2.6915
44	0	6.82	yes	0.0000
45	24	6.67	yes	3.5982
46	0	8.01	yes	0.0000
47	22	2.52	yes	8.7302
48	0	7.54	yes	0.0000
49	80	7.75	yes	10.3226
50	0	11.85	yes	0.0000
51	9	4.00	yes	2.2500
52	19	3.72	yes	5.1075
53	57	9.00	yes	6.3333
54	0	6.85	yes	0.0000
55	0	9.26	yes	0.0000
56	24	5.58	yes	4.3011
57	0	1.18	yes	0.0000
58	0	4.77	yes	0.0000
59	17	3.09	yes	5.5016
60	24	4.55	yes	5.2747
61	0	4.45	yes	0.0000
62	83	6.56	yes	12.6524
63	0	5.53	yes	0.0000
64	26	7.32	yes	3.5519
65	0	5.28	yes	0.0000
66	76	6.81	yes	11.1601
67	87	5.21	yes	16.6987
68	0	8.04	yes	0.0000
69	50	9.38	yes	5.3305
70	264	8.04	yes	32.8358
71	106	4.62	yes	22.9437
72	15	1.97	yes	7.6142
73	20	2.79	yes	7.1685
74	0	7.03	yes	0.0000
75	15	2.42	yes	6.1983
76	3	6.82	yes	0.4399
77	14	5.32	yes	2.6316
78	5	7.04	yes	0.7102
79	14	5.17	yes	2.7079
80	3	5.26	yes	0.5703
81	2	3.17	yes	0.6309
82	13	8.18	yes	1.5892
83	0	1.19	yes	0.0000
84	0	3.99	yes	0.0000
85	3	4.00	yes	0.7500
86	0	4.76	yes	0.0000
87	0	4.71	yes	0.0000
88	6	6.67	yes	0.8996
89	0	5.26	yes	0.0000
90	49	5.36	yes	9.1418
91	0	1.58	yes	0.0000
92	7	3.40	yes	2.0588
93	4	6.67	yes	0.5997
94	0	3.29	yes	0.0000
95	0	6.22	yes	0.0000
96	27	8.94	yes	3.0201
