Sample	Y1	Y2	Y3	Y4	Y5	Y6
1	8	1	8	0	6	6
2	7	2	1	7	2	9
3	7	4	5	7	7	1
4	8	3	6	1	8	1
5	0	9	8	6	2	9
6	0	6	8	8	3	5
7	7	9	5	7	7	9
8	7	7	6	4	4	7
9	7	6	7	0	4	3
10	1	0	5	9	9	6
11	2	4	4	7	5	6
12	4	6	6	5	5	6
13	1	5	0	6	6	5
14	3	3	0	4	9	6
15	9	3	0	7	4	1
16	5	3	6	4	2	0
17	4	4	5	2	6	6
18	2	9	3	7	1	3
19	5	1	9	6	9	2
20	8	5	1	2	3	4
21	2	4	5	3	4	8
22	1	5	6	7	8	2
23	3	3	8	6	0	1
24	3	1	4	4	9	0
25	0	8	4	7	6	9
26	5	6	9	4	4	2
27	4	2	3	7	6	3
28	1	2	0	6	3	3
29	1	1	9	0	3	2
30	7	8	9	2	7	0
31	1	1	5	0	5	1
32	7	7	8	7	7	6
33	1	6	5	6	4	2
34	9	8	6	8	6	0
35	3	1	6	0	0	9
36	0	6	8	5	2	8
37	8	2	4	9	4	6
38	7	1	5	0	5	8
39	4	4	6	2	6	2
40	3	1	8	8	2	1
41	8	9	0	6	1	7
42	1	3	7	3	4	3
43	9	7	7	9	8	1
44	6	9	2	9	8	7
45	6	6	8	9	6	0
46	3	3	4	6	7	0
47	4	9	3	7	3	9
48	5	5	1	1	4	0
49	4	2	5	7	7	9
50	8	3	0	6	9	7
