SALARY	EXP	EDUC	GENDER	NUMSUP	ASSETS	EXPSQ	GEN_SUP	LNSAL
93300	12	15	1	240	170	144	240	11.4436
130000	25	14	1	510	160	625	510	11.7753
88200	20	14	0	370	170	400	0	11.3874
74400	3	19	1	170	170	9	170	11.2172
115300	19	12	1	520	150	361	520	11.6553
70400	14	13	0	420	160	196	0	11.1619
114200	18	18	1	290	170	324	290	11.6457
72600	2	17	1	200	180	4	200	11.1927
108600	14	13	1	560	180	196	560	11.5954
68600	4	16	1	230	160	16	230	11.1360
102000	8	18	1	540	150	64	540	11.5327
101400	19	15	1	90	180	361	90	11.5268
149400	23	16	1	560	180	529	560	11.9144
57100	5	15	0	470	150	25	0	10.9526
87400	3	16	1	340	190	9	340	11.3783
131000	22	17	1	70	200	484	70	11.7830
90300	24	14	0	160	180	576	0	11.4109
115600	22	16	1	160	190	484	160	11.6579
102800	13	18	1	110	180	169	110	11.5405
141900	21	16	1	410	180	441	410	11.8629
90900	10	13	1	370	190	100	370	11.4175
73400	11	12	1	180	170	121	180	11.2037
101000	12	19	1	60	200	144	60	11.5229
85400	10	19	1	60	180	100	60	11.3551
138300	26	17	1	110	200	676	110	11.8372
82300	7	15	1	280	190	49	280	11.3181
85500	7	19	1	110	180	49	110	11.3563
75300	10	19	0	300	170	100	0	11.2292
87500	23	14	0	220	170	529	0	11.3794
127100	12	15	1	570	200	144	570	11.7527
80100	6	16	1	240	180	36	240	11.2910
90900	15	16	0	300	150	225	0	11.4175
109600	15	18	1	260	170	225	260	11.6046
70700	8	13	1	150	160	64	150	11.1662
104400	18	19	0	350	160	324	0	11.5560
71200	2	13	1	370	190	4	370	11.1732
85400	13	14	1	150	160	169	150	11.3551
89300	12	17	0	480	190	144	0	11.3998
124800	21	15	1	310	180	441	310	11.7345
42800	3	12	0	340	150	9	0	10.6643
125000	20	16	1	520	160	400	520	11.7361
122200	20	19	1	200	170	400	200	11.7134
107100	20	17	0	490	160	400	0	11.5815
61000	1	15	0	570	180	1	0	11.0186
59800	2	17	1	70	160	4	70	10.9988
95700	9	17	1	300	160	81	300	11.4690
85600	11	17	0	190	160	121	0	11.3574
88900	21	13	0	500	160	441	0	11.3953
143000	20	20	1	390	170	400	390	11.8706
109200	17	16	0	520	180	289	0	11.6009
156700	24	12	1	530	200	576	530	11.9621
65100	2	17	0	590	190	4	0	11.0837
105900	9	13	1	560	170	81	560	11.5703
74300	2	18	0	600	190	4	0	11.2159
79300	13	12	0	390	170	169	0	11.2810
106600	14	18	1	110	170	196	110	11.5768
106400	18	13	1	190	190	324	190	11.5750
77400	10	14	1	110	160	100	110	11.2567
129400	21	13	1	430	190	441	430	11.7707
82600	11	14	0	440	150	121	0	11.3218
126100	26	15	1	210	190	676	210	11.7448
121900	22	18	1	320	160	484	320	11.7110
96200	3	16	1	560	180	9	560	11.4742
128900	17	18	1	450	190	289	450	11.7668
72200	2	16	1	410	180	4	410	11.1872
58800	4	18	0	70	150	16	0	10.9819
79300	8	17	1	90	190	64	90	11.2810
96100	13	15	1	290	160	169	290	11.4731
94900	3	18	1	530	180	9	530	11.4606
89000	13	16	0	420	170	169	0	11.3964
108800	25	19	0	150	200	625	0	11.5973
95300	11	15	1	500	190	121	500	11.4648
71200	2	17	0	430	190	4	0	11.1732
173400	26	17	1	570	190	676	570	12.0634
107000	20	20	1	90	150	400	90	11.5806
100000	19	12	1	340	160	361	340	11.5129
100700	12	13	1	440	170	144	440	11.5199
152800	22	18	1	500	160	484	500	11.9369
95300	13	13	0	570	180	169	0	11.4648
77300	2	15	1	560	190	4	560	11.2554
84600	15	14	1	160	170	225	160	11.3457
92600	12	13	1	390	190	144	390	11.4360
85900	13	19	0	370	200	169	0	11.3609
79400	5	17	1	330	160	25	330	11.2823
80100	8	17	0	560	170	64	0	11.2910
114100	21	20	0	590	180	441	0	11.6448
78500	5	16	1	290	200	25	290	11.2709
87300	9	18	0	440	180	81	0	11.3771
102900	19	15	0	480	190	361	0	11.5415
116300	23	19	1	130	150	529	130	11.6639
51500	3	12	0	440	190	9	0	10.8493
106500	13	19	1	310	150	169	310	11.5759
109000	22	17	0	370	200	484	0	11.5991
66600	9	12	0	180	160	81	0	11.1065
111100	7	19	1	520	200	49	520	11.6182
83100	10	18	0	90	180	100	0	11.3278
159500	25	18	1	590	160	625	590	11.9798
122500	10	19	1	480	200	100	480	11.7159
67300	3	19	1	80	160	9	80	11.1169
97900	16	17	0	380	160	256	0	11.4917
