RIVER	MILE	SPECIES	LENGTH	WEIGHT	DDT
FCM	5	CCATFISH	42.5	732	10.00
FCM	5	CCATFISH	44.0	795	16.00
FCM	5	CCATFISH	41.5	547	23.00
FCM	5	CCATFISH	39.0	465	21.00
FCM	5	CCATFISH	50.5	1252	50.00
FCM	5	CCATFISH	52.0	1255	150.00
LCM	3	CCATFISH	40.5	741	28.00
LCM	3	CCATFISH	48.0	1151	7.70
LCM	3	CCATFISH	48.0	1186	2.00
LCM	3	CCATFISH	43.5	754	19.00
LCM	3	CCATFISH	40.5	679	16.00
LCM	3	CCATFISH	47.5	985	5.40
SCM	1	CCATFISH	44.5	1133	2.60
SCM	1	CCATFISH	46.0	1139	3.10
SCM	1	CCATFISH	48.0	1186	3.50
SCM	1	CCATFISH	45.0	984	9.10
SCM	1	CCATFISH	43.0	965	7.80
SCM	1	CCATFISH	45.0	1084	4.10
TRM	275	CCATFISH	48.0	986	8.40
TRM	275	CCATFISH	45.0	1023	15.00
TRM	275	CCATFISH	49.0	1266	25.00
TRM	275	CCATFISH	50.0	1086	5.60
TRM	275	CCATFISH	46.0	1044	4.60
TRM	275	CCATFISH	52.0	1770	8.20
TRM	280	CCATFISH	48.0	1048	6.10
TRM	280	CCATFISH	51.0	1641	13.00
TRM	280	CCATFISH	48.5	1331	6.00
TRM	280	CCATFISH	51.0	1728	6.60
TRM	280	CCATFISH	44.0	917	5.50
TRM	280	CCATFISH	51.0	1398	11.00
TRM	280	SMBUFFALO	49.0	1763	4.50
TRM	280	SMBUFFALO	46.0	1459	4.20
TRM	280	SMBUFFALO	52.0	2302	3.00
TRM	280	SMBUFFALO	46.0	1614	2.30
TRM	280	SMBUFFALO	46.0	1444	2.50
TRM	280	SMBUFFALO	48.0	2006	6.80
TRM	285	CCATFISH	44.0	936	19.00
TRM	285	CCATFISH	42.0	1058	7.20
TRM	285	CCATFISH	42.5	800	6.00
TRM	285	CCATFISH	45.5	1087	10.00
TRM	285	CCATFISH	48.0	1329	12.00
TRM	285	CCATFISH	44.0	897	2.80
TRM	285	LMBASS	28.5	778	0.48
TRM	285	LMBASS	26.0	532	0.18
TRM	285	LMBASS	25.5	441	0.34
TRM	285	LMBASS	25.0	544	0.11
TRM	285	LMBASS	23.0	393	0.22
TRM	285	LMBASS	28.0	733	0.80
TRM	290	CCATFISH	41.0	961	8.70
TRM	290	CCATFISH	44.0	886	22.00
TRM	290	CCATFISH	41.0	678	13.00
TRM	290	CCATFISH	42.0	1011	3.50
TRM	290	CCATFISH	42.5	947	9.30
TRM	290	CCATFISH	44.0	989	21.00
TRM	290	SMBUFFALO	43.5	1291	3.40
TRM	290	SMBUFFALO	46.5	1186	13.00
TRM	290	SMBUFFALO	43.0	1293	5.60
TRM	290	SMBUFFALO	47.0	1709	12.00
TRM	290	SMBUFFALO	46.0	1425	21.00
TRM	290	SMBUFFALO	41.0	1176	8.00
TRM	295	CCATFISH	36.0	980	12.00
TRM	295	CCATFISH	47.5	1176	6.00
TRM	295	CCATFISH	41.5	989	4.70
TRM	295	CCATFISH	49.5	1084	31.00
TRM	295	CCATFISH	46.0	1115	5.20
TRM	295	CCATFISH	46.5	724	27.00
TRM	300	CCATFISH	36.0	847	18.00
TRM	300	CCATFISH	37.0	876	7.50
TRM	300	CCATFISH	35.0	844	3.00
TRM	300	CCATFISH	36.0	908	13.00
TRM	300	CCATFISH	48.0	1358	7.30
TRM	300	CCATFISH	49.0	1019	15.00
TRM	300	SMBUFFALO	35.5	1300	1.30
TRM	300	SMBUFFALO	46.0	1365	4.80
TRM	300	SMBUFFALO	45.0	1437	5.10
TRM	300	SMBUFFALO	44.5	1460	5.10
TRM	300	SMBUFFALO	49.0	1671	4.00
TRM	300	SMBUFFALO	47.5	1717	10.00
TRM	305	CCATFISH	35.0	613	12.00
TRM	305	CCATFISH	51.0	353	22.00
TRM	305	CCATFISH	42.5	909	10.00
TRM	305	CCATFISH	38.0	886	11.00
TRM	305	CCATFISH	41.0	890	17.00
TRM	305	CCATFISH	47.0	1031	9.70
TRM	310	CCATFISH	45.0	1083	12.00
TRM	310	CCATFISH	45.5	864	4.70
TRM	310	CCATFISH	45.0	886	6.00
TRM	310	CCATFISH	45.0	965	3.80
TRM	310	CCATFISH	39.0	537	17.00
TRM	310	CCATFISH	40.5	630	12.00
TRM	310	SMBUFFALO	46.0	1486	1.40
TRM	310	SMBUFFALO	47.0	1743	6.10
TRM	310	SMBUFFALO	48.5	2061	2.80
TRM	310	SMBUFFALO	48.0	1707	4.80
TRM	310	SMBUFFALO	38.0	862	5.70
TRM	310	SMBUFFALO	38.5	911	3.30
TRM	315	CCATFISH	29.5	476	3.30
TRM	315	CCATFISH	42.0	743	3.70
TRM	315	CCATFISH	47.5	1128	9.90
