CONTRACT	COST	DOTEST	STATUS
1	1379.4	1386.3	1
2	134.0	85.7	1
3	202.3	248.9	0
4	397.1	467.5	0
5	158.5	117.7	1
6	1128.1	1008.9	1
7	400.3	473.0	1
8	581.6	785.4	0
9	354.0	370.0	0
10	138.7	174.3	0
11	383.7	410.9	1
12	3910.9	3405.9	1
13	362.9	386.0	0
14	196.5	235.4	0
15	638.0	627.4	0
16	152.1	175.4	1
17	375.0	432.3	0
18	2284.6	1499.0	1
19	551.5	497.7	1
20	239.7	194.7	1
21	207.9	168.0	1
22	640.5	767.8	0
23	230.5	260.3	1
24	299.9	247.0	1
25	2368.8	2456.8	0
26	496.5	879.4	0
27	1564.9	1303.4	1
28	7387.0	6107.9	0
29	195.7	199.1	0
30	830.5	715.5	1
31	179.1	208.7	0
32	150.3	199.1	0
33	240.1	429.2	0
34	586.8	709.9	0
35	537.2	676.4	0
36	392.7	490.6	0
37	216.5	406.5	0
38	1559.4	1925.3	0
39	88.3	143.1	0
40	268.4	308.1	0
41	189.0	269.6	0
42	192.8	227.7	0
43	256.2	436.8	0
44	113.6	132.4	0
45	125.0	121.6	0
46	116.6	114.2	0
47	143.1	172.7	0
48	36.2	64.4	0
49	2518.4	3124.4	0
50	1353.5	1617.5	0
51	332.8	376.4	0
52	202.5	300.3	0
53	6043.3	7075.0	0
54	2280.8	2823.9	0
55	99.9	119.0	1
56	1461.6	1774.7	0
57	1217.6	1341.1	0
58	258.4	306.4	0
59	115.4	117.9	0
60	463.9	540.0	0
61	728.9	763.0	0
62	3929.9	3941.6	0
63	181.7	194.8	0
64	479.5	487.2	0
65	93.5	92.4	0
66	2301.1	2505.6	0
67	136.1	181.1	0
68	144.1	252.9	0
69	65.2	84.8	0
70	161.3	164.0	0
71	1138.5	1254.6	0
72	84.8	97.6	0
73	749.1	859.3	0
74	43.7	41.1	0
75	2920.7	2812.5	0
76	32.6	40.0	0
77	1115.1	1148.5	0
78	50.7	59.9	0
79	2229.3	2434.6	0
80	2159.8	2698.6	0
81	45.9	61.9	0
82	127.3	137.5	0
83	147.8	143.3	1
84	470.7	447.8	0
85	188.7	202.5	0
86	4765.2	5035.9	0
87	168.5	163.7	0
88	95.9	95.6	0
89	106.9	107.9	0
90	698.5	646.4	0
91	796.0	969.7	0
92	689.7	801.6	0
93	831.8	906.8	0
94	2150.2	2161.4	0
95	169.8	187.3	0
96	923.6	887.4	0
97	2527.5	2616.8	0
98	726.6	778.3	0
99	1187.1	1573.5	0
100	138.0	149.3	0
101	147.6	162.2	0
102	94.2	116.1	0
103	580.5	675.4	0
104	445.5	435.0	0
105	110.5	120.1	0
106	45.2	68.3	0
107	800.6	1031.5	0
108	495.5	541.8	0
109	1370.1	1377.9	0
110	607.5	809.1	0
111	152.7	161.2	0
112	728.2	917.0	0
113	181.6	146.5	0
114	462.9	504.8	0
115	169.4	144.5	0
116	2473.3	2618.2	0
117	2346.8	2447.8	0
118	170.4	196.8	0
119	77.8	109.9	0
120	4770.9	7511.3	0
121	303.3	341.2	0
122	396.0	419.0	0
123	150.6	174.5	0
124	1404.1	1573.8	0
125	1691.7	1627.1	0
126	5196.2	6365.1	0
127	3815.9	4960.8	0
128	122.6	95.4	0
129	1571.2	1759.2	0
130	4385.5	5556.8	0
131	4497.6	5186.3	0
132	23.7	32.5	0
133	1048.9	1040.5	0
134	239.5	315.1	0
135	260.6	351.8	0
136	138.9	123.3	0
137	128.4	151.9	0
138	285.0	316.0	0
139	77.3	101.0	0
140	5411.5	5086.3	0
141	3864.6	3991.0	0
142	2976.0	2832.4	0
143	257.5	205.9	1
144	36.4	42.0	0
145	182.5	223.1	0
146	1367.1	1433.6	0
147	76.8	75.3	1
148	1747.9	1493.5	0
149	5734.4	5427.3	0
150	5884.7	6097.4	0
151	346.5	331.1	0
152	646.4	818.5	0
153	760.8	718.2	1
154	169.8	175.9	1
155	138.8	151.6	0
156	346.8	394.2	0
157	1082.2	1085.9	0
158	253.7	270.9	0
159	433.1	545.3	0
160	10270.5	10467.4	0
161	1398.0	1414.7	0
162	2140.9	2152.0	0
163	6584.1	5949.4	0
164	666.8	641.5	0
165	108.1	99.6	0
166	106.1	95.3	0
167	549.6	413.1	1
168	1272.0	949.5	1
169	122.8	132.3	0
170	359.4	333.4	0
171	1731.5	1672.5	0
172	31.7	28.3	0
173	3300.0	2805.9	1
174	480.6	480.3	0
175	673.1	655.8	0
176	117.0	99.9	1
177	1157.4	891.2	1
178	166.8	132.0	1
179	668.5	596.9	1
180	7622.2	7871.2	0
181	201.3	182.9	0
182	1270.1	1306.3	1
183	1055.1	1148.7	0
184	5212.2	5090.9	0
185	5654.9	5447.6	1
186	856.5	938.1	0
187	89.0	66.1	1
188	200.0	169.0	1
189	234.0	179.7	0
190	116.6	125.8	0
191	82.1	93.0	0
192	207.8	214.3	0
193	463.3	474.9	0
194	7385.6	8460.9	0
195	91.7	100.3	0
196	546.2	622.9	0
197	740.3	810.3	0
198	888.4	883.3	1
199	656.8	750.8	1
200	1884.4	1550.5	1
201	4448.1	4197.8	1
202	258.2	181.9	1
203	1949.6	1880.8	1
204	235.3	230.8	1
205	35.2	39.2	0
206	244.8	221.9	1
207	648.9	563.9	1
208	391.5	358.5	1
209	267.8	249.9	1
210	2130.0	2019.9	0
211	301.2	303.2	1
212	1077.9	878.7	1
213	927.4	902.0	0
214	241.7	244.0	1
215	65.8	82.4	0
216	1208.4	1230.3	0
217	9453.4	9479.7	0
218	7098.1	8296.8	0
219	912.1	1137.7	0
220	260.0	319.6	1
221	8992.3	10743.6	0
222	339.9	428.8	0
223	833.7	859.7	1
224	4833.8	6225.0	0
225	271.9	223.9	1
226	2966.3	4433.5	0
227	577.4	701.1	0
228	10480.3	10276.3	0
229	462.4	444.2	0
230	2558.2	2741.1	0
231	2814.9	2816.7	0
232	119.8	122.2	0
233	3184.9	3373.0	0
234	473.2	548.0	0
235	400.5	496.7	0
