SHIFT	OPERATOR	FOIL	SPEED	LIGHT
DAY	B	100	1.2	6
DAY	B	100	1.2	5
DAY	B	100	1.3	5
DAY	B	100	1.3	4
DAY	B	120	1.2	16
DAY	B	120	1.2	14
DAY	B	120	1.3	13
DAY	B	120	1.3	14
DAY	A	100	1.2	7
DAY	A	100	1.2	5
DAY	A	100	1.3	6
DAY	A	100	1.3	5
DAY	A	120	1.2	16
DAY	A	120	1.2	17
DAY	A	120	1.3	16
DAY	A	120	1.3	15
NIT	B	100	1.2	8
NIT	B	100	1.2	6
NIT	B	100	1.3	7
NIT	B	100	1.3	5
NIT	B	120	1.2	15
NIT	B	120	1.2	14
NIT	B	120	1.3	17
NIT	B	120	1.3	14
NIT	A	100	1.2	5
NIT	A	100	1.2	4
NIT	A	100	1.3	4
NIT	A	100	1.3	3
NIT	A	120	1.2	15
NIT	A	120	1.2	13
NIT	A	120	1.3	13
NIT	A	120	1.3	14
