Gene ID	FULL-DARK	TR-LIGHT	TR-DARK
slr2067	-0.00562	1.40989	-1.28569
slr1986	-0.68372	1.83097	-0.68723
ssr3383	-0.25468	-0.79794	-0.39719
sll0928	-0.18712	-1.20901	-1.18618
slr0335	-0.20620	1.71404	-0.73029
slr1459	-0.53477	2.14156	-0.33174
sll1326	-0.06291	1.03623	0.30392
slr1329	-0.85178	-0.21490	0.44545
sll1327	0.63588	1.42608	-0.13664
sll1325	-0.69866	1.93104	-0.24820
slr1330	-0.64137	-0.30900	0.33609
sll1324	-0.44901	0.26044	1.67992
sll1323	-0.55347	-0.28083	0.24947
ssl2615	-0.51002	1.35190	1.10683
sll1322	-0.58269	-0.09044	0.28535
sll0934	-0.45047	-0.26628	-0.42065
slr0436	0.15242	0.20226	1.44511
slr1838	-0.54999	1.37967	0.65310
sll1029	1.28877	-1.25414	-1.11100
sll1030	-0.55875	2.20669	-0.59231
sll1031	-0.95056	-0.93299	-0.24083
sll1578	-0.76065	1.26129	-1.01676
sll1577	-0.79222	0.62556	-0.93872
sll1580	-0.88107	0.95491	-1.13669
sll1579	-0.82933	1.46868	-0.73590
ssl3093	-0.84948	-0.93310	-0.30879
slr1878	-0.28410	0.01178	-0.95157
sll1051	-0.24829	2.17866	-0.20929
slr2051	-0.57646	0.15823	-0.83818
sll1471	-0.50333	-0.29952	-0.92210
sll1899	0.22169	-0.89397	0.80759
slr1137	-0.50329	0.00290	1.19402
slr2082	-0.61749	-0.81569	-0.94871
slr2083	-0.86579	-0.06790	1.54422
slr1138	1.15515	0.16595	-0.46805
slr1379	-0.10660	0.01196	0.19863
sll1245	-0.96662	0.28723	1.88493
slr0051	0.22413	0.57468	0.15584
slr1347	-0.37450	-1.00820	1.96089
sll0248	-0.19446	-1.51191	-0.09516
ssl0452	1.45102	0.34965	0.02025
ssl0453	0.45555	-1.06176	0.54098
slr1687	0.52799	-1.55246	-0.57063
slr0851	0.23198	-1.28432	-0.06542
slr1743	-0.80917	0.45335	-0.23562
sll0519	0.40918	-1.20982	1.26357
sll0223	-0.06634	-1.65996	0.25808
slr1279	0.12050	-1.41171	0.00764
slr2007	-0.75228	1.44885	0.60024
slr0331	1.25426	-0.86594	-0.09915
slr1291	-1.39563	0.28821	-0.27814
sll1732	-1.34527	1.12106	0.51167
slr0844	-0.41419	1.60324	0.67752
slr2009	0.66810	-0.25438	0.40558
sll0521	0.14325	-1.46212	0.01602
slr0261	-0.85856	0.33626	-0.78126
sll0520	0.45376	-1.74111	-0.30403
slr1281	0.28344	-0.70709	0.47833
sll1317	-0.03815	-0.84121	0.91481
slr0342	-0.80304	0.61397	-1.14756
sll1182	-0.37207	-0.50284	-0.63648
sll1316	-0.01151	0.43559	0.29208
slr0343	-1.28043	-0.16504	-1.07571
ssl0020	-0.68759	0.52301	-0.43731
slr1828	-0.03315	-1.53441	0.15194
sll1382	-0.56147	-0.83504	0.31916
slr0150	-0.63374	-0.41780	-0.10558
smr0010	-0.79181	-1.16417	0.28207
slr1643	-0.56184	2.15911	-0.60692
sll1796	0.55168	-0.39460	0.01635
smr0003	-0.72764	-0.73456	0.71358
slr1834	-0.75176	-0.59527	-0.54251
slr1835	-0.78808	1.03541	-0.48485
ssl0563	-0.23464	-0.39014	-0.77080
ssr2831	-1.00054	1.74266	-0.49273
smr0004	-0.47440	0.83605	-0.30399
sml0008	-0.92043	0.54289	-0.62066
sll0629	0.25456	-0.15882	-1.03344
ssr0390	-1.86904	0.70239	-0.04774
slr1655	-0.64530	1.84049	-0.45186
slr1181	-0.84165	-0.98474	0.78588
slr1311	-0.92070	0.99224	-0.97260
sll1867	-0.05656	-0.71372	-0.86822
sll0851	-0.69448	-0.69489	-0.93200
slr0927	-0.76132	0.61012	-1.25746
ssr3451	-0.49257	-0.25604	-0.40524
smr0006	-0.29052	2.22192	-0.52247
slr1280	-0.66628	-0.57180	-0.04762
ssl2598	0.18426	-1.09877	0.06744
sml0001	0.34197	-1.51189	1.52427
smr0008	-0.45821	-0.69454	0.41339
sml0005	0.75176	-0.56857	-0.40521
smr0007	-0.25476	-1.74739	0.45248
sml0003	0.31599	1.48069	0.63555
smr0009	0.18698	-1.28969	0.19604
sll0427	-0.49080	-1.10024	0.82792
sll1194	0.06065	-0.76969	-0.50296
sll0258	0.50171	1.80573	-0.71564
sml0002	-0.25841	2.18806	-0.30116
slr0009	-0.26258	1.12588	-1.22814
sll1594	-0.06764	1.95418	-0.44521
slr0012	-1.19006	-0.44598	0.14457
slr0011	-0.97747	1.73409	-0.48489
