YEAR	MONTH	PRICE
2001	Jan	265.5
2001	Feb	261.9
2001	Mar	263.0
2001	Apr	260.5
2001	May	272.4
2001	Jun	270.2
2001	Jul	267.5
2001	Aug	272.4
2001	Sep	283.4
2001	Oct	283.1
2001	Nov	276.2
2001	Dec	275.9
2002	Jan	281.7
2002	Feb	295.5
2002	Mar	294.0
2002	Apr	302.7
2002	May	314.5
2002	Jun	321.2
2002	Jul	313.3
2002	Aug	310.3
2002	Sep	319.2
2002	Oct	316.6
2002	Nov	319.2
2002	Dec	333.4
2003	Jan	356.9
2003	Feb	359.0
2003	Mar	340.6
2003	Apr	328.2
2003	May	355.7
2003	Jun	356.5
2003	Jul	351.0
2003	Aug	359.8
2003	Sep	378.9
2003	Oct	378.9
2003	Nov	389.9
2003	Dec	407.6
2004	Jan	414.0
2004	Feb	405.3
2004	Mar	406.7
2004	Apr	403.0
2004	May	383.4
2004	Jun	392.0
2004	Jul	398.1
2004	Aug	400.5
2004	Sep	405.3
2004	Oct	420.5
2004	Nov	439.4
2004	Dec	441.7
2005	Jan	424.2
2005	Feb	423.4
2005	Mar	434.2
2005	Apr	428.9
2005	May	421.9
2005	Jun	430.7
2005	Jul	424.5
2005	Aug	437.9
2005	Sep	456.0
2005	Oct	469.9
2005	Nov	476.7
2005	Dec	509.8
2006	Jan	549.9
2006	Feb	555.0
2006	Mar	557.1
2006	Apr	610.6
2006	May	676.5
2006	Jun	596.2
2006	Jul	633.8
2006	Aug	632.6
2006	Sep	598.2
2006	Oct	585.8
2006	Nov	627.8
2006	Dec	629.8
2007	Jan	631.2
2007	Feb	664.7
2007	Mar	654.9
2007	Apr	679.4
2007	May	666.9
2007	Jun	655.5
2007	Jul	665.3
2007	Aug	665.4
2007	Sep	712.7
2007	Oct	754.6
2007	Nov	806.3
2007	Dec	803.2
2008	Jan	889.6
2008	Feb	922.3
2008	Mar	968.4
2008	Apr	909.7
2008	May	888.7
2008	Jun	889.5
2008	Jul	939.8
2008	Aug	839.0
2008	Sep	829.9
2008	Oct	806.6
2008	Nov	760.9
2008	Dec	816.1
